"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Cycling","Bike","","","","2022-04-24","","5839.39990234375","","","","","0.371118873357773","4.37099981307983","","","","130","163","","","0.782876524640239","24.58","7","5","4","3","1","1","1","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2022-04-24","","1950","","","","","0.264108612272475","2.05047318611987","","21","","145","159","","","0.764631019562479","11.81","1","1","2","4","4","4","1","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-04-25","","4023","","","","","0.465706378221512","2.40000009536743","","75","","159","171","","","0.921477811858571","42.96","1","1","1","2","1","1","23","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-04-28","","3218","","","","","0.352188050746918","2.53800010681152","","74","","158","185","","","0.946922624587409","34.06","1","0","0","1","1","2","15","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-04-30","","10460.990234375","","","","","1.42651426792145","2.03699994087219","","69","","165","178","","","0.820038868148714","107.21","2","0","0","6","3","2","72","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-01","","20666.900390625","","","","","1.31678199768066","4.3600001335144","","","","121","141","","","0.681841132306981","68.28","35","27","15","2","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-05-02","","3219","","","","","0.316573321819305","2.82500004768372","","75","","163","179","","","1.05378666570881","37.85","1","1","2","1","0","1","13","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-03","","8188.7099609375","","","","","0.721444129943848","3.15300011634827","","","","117","149","","","0.677660167279456","36.4","26","7","7","3","1","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-04","","20525.44921875","","","","","1.07244217395782","5.31599998474121","","","","148","179","","","0.972218899108406","112.47","10","4","4","7","3","6","30","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2022-05-04","","6449.31982421875","","","","","0.896793365478516","1.99800002574921","","67","","149","177","","","0.744899794854005","54.98","2","7","4","3","3","16","18","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2022-05-07","","5550","","","","","0.97742748260498","1.57700002193451","","71","","155","176","","","0.587941430272649","37.41","3","2","2","4","6","10","32","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-07","","2402.2900390625","","","","","0.169255003333092","3.94300007820129","","","","101","128","","","0.608619437362089","6.64","10","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-07","","2496.84008789063","","","","","0.150285273790359","4.61499977111816","","","","143","155","","","0.896302843303584","12.76","1","1","0","4","3","1","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-09","","2691.51000976563","","","","","0.276477217674255","2.7039999961853","","","","115","137","","","0.64901418301061","12.5","12","2","2","0","0","0","0","","","","","","","","","","","","","","",""
