Date,WorkoutType,DistanceInMeters,Calories,TimeTotalInHours,HeartRateAverage
2022-12-29,SwimBikeRun,17.479999999999997,1475.0,122.21666666666667,412.0
2023-01-04,Run,3.55,281.0,29.4,140.0
2023-01-05,Swim,1.825,495.0,29.316666666666666,119.0
2023-01-07,Run,6.76,529.0,59.78333333333333,136.0
2023-01-08,Bike,20.75,549.0,54.016666666666666,145.0
2023-01-11,Bike,22.52,628.0,60.06666666666667,147.0
2023-01-12,Bike,17.35,466.0,45.36666666666667,142.0
2023-01-13,SwimRun,4.71,718.0,62.65,254.0
2023-01-14,Bike,30.42,729.0,83.96666666666667,140.0
2023-01-15,Run,5.25,415.0,42.85,142.0
2023-02-12,Run,0.41,32.0,3.6333333333333333,122.0
2023-03-14,Run,3.87,381.0,42.81666666666667,135.0
2023-03-15,Run,1.23,136.0,21.566666666666666,110.0
2023-03-17,SwimRun,2.9699999999999998,599.0,60.06666666666666,279.0
2023-03-19,Run,3.26,476.0,50.45,138.0
2023-03-21,BikeSwim,18.724999999999998,689.0,72.61666666666666,282.0
2023-03-22,Run,7.09,542.0,48.983333333333334,148.0
2023-03-23,Swim,1.3,339.0,28.75,141.0
2023-03-25,BikeRun,27.65,1089.0,121.38333333333333,272.0
2023-03-26,Swim,2.725,691.0,59.2,139.0
2023-03-28,BikeRun,2.96,714.0,74.9,273.0
2023-03-29,Bike,20.82,462.0,47.983333333333334,137.0
2023-04-01,Bike,17.38,387.0,39.0,138.0
2023-04-07,Run,5.7,369.0,42.03333333333333,131.0
2023-04-08,Bike,36.48,710.0,79.53333333333333,135.0
2023-04-09,Run,6.95,614.0,74.98333333333333,128.0
2023-04-10,Swim,3.075,763.0,65.86666666666666,129.0
2023-04-15,BikeSwim,41.68,1287.0,139.48333333333335,266.0
2023-04-18,Run,5.69,394.0,37.333333333333336,143.0
2023-04-19,Bike,12.33,344.0,44.483333333333334,121.0
2023-04-20,Bike,24.0,312.0,54.15,107.0
2023-04-22,SwimRun,7.23,1148.0,113.58333333333333,266.0
2023-04-23,Bike,0.0,565.0,61.3,139.0
2023-04-24,Run,0.79,152.0,21.716666666666665,116.0
2023-04-25,BikeRun,1.31,347.0,43.8,243.0
2023-04-27,RunRun,7.29,609.0,61.08333333333333,252.0
2023-04-29,SwimRun,6.395,999.0,108.48333333333333,258.0
2023-04-30,Bike,35.8,768.0,102.16666666666667,128.0
2023-05-02,Run,2.9,384.0,35.583333333333336,145.0
2023-05-04,Bike,27.57,626.0,75.43333333333334,133.0
2023-05-06,Bike,44.09,892.0,96.36666666666666,137.0
2023-05-07,SwimRun,12.35,1286.0,127.18333333333334,273.0
2023-05-09,BikeBikeRun,3.82,347.0,38.413333333333334,311.0
2023-05-10,Swim,2.325,441.0,49.55,130.0
2023-05-12,Swim,3.425,624.0,69.58333333333333,132.0
2023-05-13,Bike,45.81,843.0,102.8,134.0
2023-05-14,SwimRun,14.525,1530.0,135.5,279.0
2023-05-18,Run,1.0,74.0,6.943333333333333,134.0
2023-05-19,Run,3.0,240.0,21.5,140.0
2023-05-20,BikeRun,33.68,753.0,79.36333333333334,250.0
2023-05-21,SwimRun,7.475,905.0,79.55,295.0
2023-05-25,Run,8.77,600.0,51.78333333333333,150.0
2023-05-26,Swim,1.225,276.0,25.183333333333334,137.0
2023-05-27,SwimRun,10.345,1047.0,109.76666666666667,262.0
2023-05-28,Bike,40.67,915.0,91.06666666666666,146.0
2023-05-30,Run,8.25,623.0,55.6,143.0
2023-06-06,Run,6.42,490.0,43.0,146.0
2023-06-07,Swim,1.55,309.0,32.9,127.0
2023-06-08,BikeRun,15.1,543.0,54.349999999999994,268.0
2023-06-09,SwimRun,7.215,966.0,101.01666666666668,267.0
2023-06-11,SwimRun,14.32,1572.0,146.13333333333333,281.0
2023-06-13,Swim,2.425,501.0,52.63333333333333,132.0
2023-06-14,Swim,1.325,227.0,25.383333333333333,119.0
2023-06-15,Run,1.35,108.0,9.943333333333333,135.0
2023-06-16,Bike,8.11,157.0,21.633333333333333,111.0
2023-06-17,SwimRun,6.92,801.0,72.86666666666667,281.0
2023-06-18,Bike,39.4,831.0,84.5,142.0
2023-06-21,Bike,13.11,260.0,43.61666666666667,108.0
2023-06-22,Swim,2.275,529.0,53.5,116.0
2023-06-24,SwimRun,11.370000000000001,1193.0,109.38333333333334,261.0
2023-06-27,Run,10.0,790.0,76.0,144.0
2023-06-28,Swim,3.15,608.0,71.16666666666667,121.0
2023-06-30,SwimBike,31.59,1109.0,104.95,278.0
2023-07-01,SwimRun,1.77,355.0,37.115,232.0
2023-07-02,Run,6.57,508.0,45.11666666666667,143.0
2023-07-04,Swim,3.2,550.0,78.0,114.0
2023-07-05,Run,7.58,527.0,46.68333333333333,145.0
2023-07-07,Bike,0.0,136.0,30.966666666666665,92.0
2023-07-08,Run,5.73,411.0,48.333333333333336,123.0
2023-07-10,Run,7.36,558.0,55.1,133.0
2023-07-12,Bike,0.0,692.0,55.666666666666664,150.0
2023-07-13,Swim,1.35,335.0,29.783333333333335,134.0
2023-07-15,Run,8.87,663.0,50.18333333333333,156.0
2023-07-18,Run,9.77,753.0,70.31666666666666,141.0
2023-07-21,Swim,1.475,305.0,38.36666666666667,121.0
2023-07-22,Swim,2.4,510.0,58.45,128.0
2023-07-25,Run,10.24,795.0,67.68333333333334,143.0
2023-07-29,Swim,4.0,707.0,86.51666666666667,126.0
2023-08-01,Swim,4.4,968.0,100.71666666666667,135.0
2023-08-02,Bike,0.0,519.0,58.75,136.0
2023-08-05,Swim,2.2,503.0,63.68333333333333,123.0
2023-08-08,Run,5.44,406.0,44.766666666666666,124.0
2023-08-11,RunSwim,9.275,885.0,80.13333333333334,281.0
2023-08-13,BikeRun,29.95,1015.0,85.91666666666666,285.0
2023-08-20,Swim,3.4,791.0,76.83333333333333,140.0
2023-08-24,Run,0.58,46.0,3.665,143.0
2023-08-25,Swim,1.25,270.0,30.216666666666665,125.0
2023-08-26,BikeRunBike,28.590000000000003,984.0,103.61666666666667,389.0
2023-08-27,Swim,550.0,78.0,9.29,116.0
2023-08-31,SwimRun,8.99,950.0,88.91666666666667,268.0
2023-09-08,RunBike,19.98,801.0,74.78333333333333,276.0
2023-09-11,Run,8.22,714.0,60.35,144.0
2023-09-13,Bike,0.0,553.0,68.05,125.0
2023-09-14,Run,1.0,98.0,8.71,134.0
2023-09-15,SwimRun,11.515,1206.0,130.31666666666666,265.0
2023-09-17,Run,8.47,767.0,64.7,147.0
2023-09-20,Swim,2.875,691.0,65.8,140.0
2023-09-21,Run,1.23,113.0,9.286666666666667,146.0
2023-09-23,SwimSwimSwim,875.0,151.0,19.308333333333334,338.0
2023-09-26,BikeRun,12.24,419.0,32.266666666666666,300.0
2023-09-27,SwimSwimSwimSwim,1176.0,565.0,47.681666666666665,570.0
2023-09-28,BikeRun,34.86,953.0,87.25,287.0
2023-09-29,Swim,2.025,453.0,44.65,137.0
2023-10-04,Swim,1.8,439.0,40.13333333333333,137.0
2023-10-05,Bike,13.0,283.0,25.833333333333332,139.0
2023-10-07,Run,0.0,560.0,43.55,147.0
2023-10-08,Bike,0.0,779.0,76.01666666666667,141.0
2023-10-10,Run,8.4,711.0,60.483333333333334,144.0
2023-10-12,Run,2.03,288.0,25.666666666666668,145.0
2023-10-13,Swim,1.475,272.0,31.283333333333335,123.0
2023-10-14,Run,11.5,851.0,75.95,146.0
2023-10-15,Bike,40.0,809.0,75.43333333333334,140.0
2023-10-16,Swim,1.35,353.0,30.6,140.0
2023-10-19,Swim,1.5,388.0,30.633333333333333,148.0
2023-10-20,Bike,0.0,592.0,60.05,133.0
2023-10-22,SwimRun,9.5,965.0,83.23333333333333,284.0
2023-10-24,Swim,1.4,292.0,30.133333333333333,123.0
2023-10-25,RunBike,0.07,834.0,102.5,231.0
2023-10-26,SwimRun,5.64,717.0,61.83333333333333,281.0
2023-10-28,Bike,0.0,791.0,71.51666666666667,140.0
2023-10-29,Run,10.5,774.0,66.85,143.0
2023-10-30,Swim,1.375,238.0,30.166666666666668,113.0
2023-10-31,Run,0.91,57.0,10.55,97.0
2023-11-09,SwimSwimRun,626.07,452.0,51.68333333333334,336.0
2023-11-11,RunSwim,452.36,304.0,25.416666666666668,284.0
2023-11-12,Bike,0.0,696.0,60.03333333333333,148.0
2023-11-13,Run,2.77,282.0,42.8,112.0
2023-11-14,SwimSwim,1425.0,388.0,36.55,274.0
2023-11-15,SwimSwimRun,551.51,720.0,87.46666666666667,381.0
2023-11-17,Run,5.6,403.0,34.766666666666666,142.0
2023-11-18,Run,9.46,755.0,60.333333333333336,151.0
2023-11-21,Run,3.1,235.0,28.833333333333332,121.0
2023-11-22,Bike,0.0,648.0,60.05,143.0
2023-11-23,Run,1.04,129.0,14.483333333333333,121.0
2023-11-24,Run,8.71,648.0,55.71666666666667,140.0
2023-11-26,Bike,11.37,270.0,31.133333333333333,124.0
2023-11-28,Run,6.51,518.0,45.75,148.0
2023-11-29,Bike,7.34,220.0,18.033333333333335,144.0
2023-12-02,SwimSwim,301.0,241.0,32.45,213.0
2023-12-03,Bike,34.77,904.0,86.46666666666667,140.0
2023-12-04,Run,1.14,102.0,13.883333333333333,110.0
2023-12-06,Bike,29.33,705.0,62.31666666666667,142.0
2023-12-15,Bike,11.89,351.0,32.583333333333336,140.0
2023-12-16,Run,8.6,642.0,58.45,139.0
2023-12-17,Bike,28.53,588.0,60.016666666666666,136.0
2023-12-18,BikeBike,24.560000000000002,695.0,48.68333333333334,316.0
2023-12-20,BikeBike,25.0,690.0,48.400000000000006,313.0
2023-12-23,Run,4.82,487.0,90.45,102.0
2023-12-24,Run,11.72,886.0,80.68333333333334,139.0
2023-12-28,Run,8.45,645.0,53.733333333333334,148.0
2024-01-03,BikeBike,39.96,826.0,83.4,268.0
2024-01-07,BikeBikeBike,50.25,1426.0,113.78333333333333,463.0
2024-01-08,BikeBike,25.4,743.0,58.28333333333333,309.0
2024-01-14,BikeBike,30.08,1165.0,156.91666666666669,235.0
2024-01-16,SwimBike,1.25,971.0,90.75,271.0
2024-01-17,Run,8.6,777.0,60.833333333333336,152.0
2024-01-21,Bike,30.99,777.0,69.7,143.0
2024-01-22,Swim,1.3,286.0,29.933333333333334,127.0
2024-01-23,BikeBikeBikeBike,66.49000000000001,2168.0,192.93333333333334,593.0
2024-01-24,Run,9.89,689.0,60.06666666666667,141.0
2024-01-25,BikeBike,25.68,810.0,104.36666666666667,254.0
2024-01-26,Swim,975.0,245.0,22.983333333333334,134.0
2024-01-31,BikeBikeBike,49.84,1418.0,131.46666666666667,426.0
2024-02-13,BikeBike,30.01,807.0,72.41666666666666,304.0
2024-02-14,SwimRun,10.15,1043.0,89.81666666666666,286.0
2024-02-16,BikeBikeBike,21.91,1185.0,108.55,437.0
2024-02-20,BikeRun,19.23,1162.0,122.75,270.0
2024-02-21,Bike,0.0,703.0,70.43333333333334,138.0
2024-02-23,BikeBikeBike,51.519999999999996,1549.0,161.58333333333334,409.0
2024-02-27,BikeBikeBike,43.1,1000.0,106.63333333333334,399.0
2024-02-28,RunBikeBike,54.589999999999996,1674.0,172.03333333333333,422.0
2024-02-29,Bike,23.16,613.0,60.1,139.0
2024-03-01,Run,6.08,526.0,46.18333333333333,142.0
2024-03-02,BikeBikeBike,59.349999999999994,1242.0,136.2,399.0
2024-03-03,Run,8.59,788.0,83.38333333333334,132.0
2024-03-05,RunBikeBikeBike,38.92,1346.0,134.68333333333334,527.0
2024-03-06,BikeSwim,1.0,809.0,91.86666666666666,251.0
2024-03-07,BikeBikeBike,83.55,1714.0,181.39999999999998,414.0
2024-03-12,Bike,22.74,540.0,60.15,128.0
2024-03-14,BikeBike,56.07,1232.0,120.80000000000001,276.0
