Date,ATL
2024-03-03,6.1407173164695115
2024-03-04,5.323252130260661
2024-03-05,15.88592691195008
2024-03-06,20.339587333599482
2024-03-07,34.456393075172315
2024-03-08,29.869485661972078
2024-03-09,25.893196997268518
2024-03-10,22.446240230809842
2024-03-11,19.458149588572468
2024-03-12,21.345436815743604
2024-03-13,18.503887436082017
2024-03-14,27.38005470011384
2024-03-15,31.03614793891607
2024-03-16,26.90455074162349
2024-03-17,23.32296044062076
2024-03-18,20.218158962721894
2024-03-19,32.429388841051534
2024-03-20,30.677888004240483
2024-03-21,29.788962530958138
2024-03-22,30.82845905762241
2024-03-23,26.724509840406178
2024-03-24,41.1474768986574
2024-03-25,35.66983835392725
2024-03-26,36.390132751554184
2024-03-27,31.545801851297586
2024-03-28,27.34635845478824
2024-03-29,23.70595378310245
2024-03-30,20.550167427070726
2024-03-31,17.814485978693664
2024-04-01,15.442984190339022
2024-04-02,23.801568450902202
2024-04-03,20.633053669478283
2024-04-04,24.24847477518397
2024-04-05,21.020466885256734
2024-04-06,42.037962060088425
2024-04-07,36.44178026042727
2024-04-08,31.59057393531682
2024-04-09,27.38517038495027
2024-04-10,23.739598987606563
2024-04-11,33.24281961194695
2024-04-12,32.58399986889138
2024-04-13,43.4904384377576
2024-04-14,37.70089993213787
2024-04-15,32.68207695186344
2024-04-16,34.643022963512145
2024-04-17,45.193298007782786
2024-04-18,39.177071259770806
2024-04-19,39.61516094457057
2024-04-20,34.341507517894755
2024-04-21,43.91861280030189
2024-04-22,38.07207482426714
2024-04-23,39.060518744847876
2024-04-24,33.860700452686324
2024-04-25,44.04782546880416
2024-04-26,38.18408643095951
2024-04-27,33.100940649149585
2024-04-28,62.67243088634606
2024-04-29,54.32934525899409
2024-04-30,47.09690871291928
2024-05-01,40.82726930978149
2024-05-02,35.39225747179842
2024-05-03,62.05320239737676
2024-05-04,53.7925497670109
2024-05-05,46.63157256423353
2024-05-06,44.40566349285016
2024-05-07,38.49428830569526
2024-05-08,33.36984779881908
2024-05-09,28.927583574823505
2024-05-10,29.009772456467427
2024-05-11,25.14793061929315
2024-05-12,21.80018527831613
2024-05-13,24.524689876333646
2024-05-14,25.615434106198375
2024-05-15,30.2836732738758
2024-05-16,26.25224708437816
2024-05-17,22.757492816228567
2024-05-18,19.727967576112064
2024-05-19,54.07881669478817
2024-05-20,46.87973103735303
2024-05-21,45.28350745177448
2024-05-22,39.25527183311596
2024-05-23,39.78959303565459
2024-05-24,49.793936566616324
2024-05-25,43.16526315116213
2024-05-26,73.08495043454084
2024-05-27,63.35572833604089
2024-05-28,59.71428623642016
2024-05-29,51.764995037709085
2024-05-30,49.341231040849436
2024-05-31,42.772822735780025
2024-06-01,37.078814739579805
2024-06-02,36.57695451373273
2024-06-03,80.33691915201396
2024-06-04,69.642299746898
2024-06-05,60.37137053836354
2024-06-06,52.33460689733658
2024-06-07,45.87060936980862
2024-06-08,39.764217510760695
2024-06-09,38.79162769119614
2024-06-10,33.627604740835096
2024-06-11,29.15102737136438
2024-06-12,25.27038138324841
2024-06-13,21.90633513939647
2024-06-14,18.990117796863615
2024-06-15,16.462113431753675
2024-06-16,14.27064231716788
2024-06-17,12.370904439992557
2024-06-18,17.356071696669442
2024-06-19,15.045594980322377
2024-06-20,13.042693777033737
2024-06-21,11.306422988519769
2024-06-22,9.80128821397519
2024-06-23,60.50354008668421
2024-06-24,53.54305254163071
2024-06-25,49.89940019514708
2024-06-26,43.2566872399629
2024-06-27,37.498266184729516
2024-06-28,32.506418234491576
2024-06-29,28.179095567517063
2024-06-30,26.8449208471972
2024-07-01,23.271268602978175
2024-07-02,20.173348451072062
2024-07-03,34.582799014682536
2024-07-04,35.47991729413605
2024-07-05,32.22482029096631
2024-07-06,27.934984533659915
2024-07-07,82.39857876454101
2024-07-08,71.42950690180523
2024-07-09,61.92066092322801
2024-07-10,60.67603485871465
2024-07-11,52.59871366349136
2024-07-12,45.59666243016857
2024-07-13,39.52673896308254
2024-07-14,42.890088117771995
2024-07-15,37.180469507634406
2024-07-16,32.23092731850378
2024-07-17,27.94027858086531
2024-07-18,24.220810014615505
2024-07-19,20.996484915718053
2024-07-20,46.473195011013374
2024-07-21,41.3241137828893
2024-07-22,35.82296096514861
2024-07-23,31.054133164300765
2024-07-24,26.920141736031507
2024-07-25,23.3364759291082
2024-07-26,20.229875240995984
2024-07-27,17.536831761122798
2024-07-28,15.20229188535441
2024-07-29,44.66357021481746
2024-07-30,41.63865934685362
2024-07-31,36.095633563013735
2024-08-01,31.29050701325751
2024-08-02,27.125049001770996
2024-08-03,29.310313915196012
2024-08-04,25.40846336782364
2024-08-05,56.671354252064184
2024-08-06,49.12714455002792
2024-08-07,42.58723588825178
2024-08-08,44.0388967741919
2024-08-09,38.17634634292652
2024-08-10,33.094230937891666
2024-08-11,28.68865740928701
2024-08-12,24.86956308161521
2024-08-13,21.558874611895245
2024-08-14,18.68891194453726
2024-08-15,16.201004735096543
2024-08-16,14.044292958603238
2024-08-17,12.174687183430239
2024-08-18,97.34202436676533
2024-08-19,84.38364964049254
2024-08-20,73.15032097360533
2024-08-21,63.41239661165065
2024-08-22,54.97080519283325
2024-08-23,51.046223160480885
2024-08-24,44.25084272353675
2024-08-25,38.36007760235514
2024-08-26,33.253503506183606
2024-08-27,34.84238660041147
2024-08-28,30.20409491844857
2024-08-29,33.223069977455
2024-08-30,28.8003451253095
2024-08-31,24.96638269430868
2024-09-01,21.642805394401588
2024-09-02,18.76166968500075
2024-09-03,16.2640768123401
2024-09-04,17.20157398022296
