,CTL
2024-03-03,1.085324832847111
2024-03-04,1.0597889700957825
2024-03-05,3.026973071154337
2024-03-06,4.116672992620774
2024-03-07,6.993408280273627
2024-03-08,6.828865178886552
2024-03-09,6.668193499148124
2024-03-10,6.511302153036692
2024-03-11,6.358102195678122
2024-03-12,6.999887802531971
2024-03-13,6.835192248914859
2024-03-14,8.678531661059166
2024-03-15,9.764733480127383
2024-03-16,9.534985771049614
2024-03-17,9.310643638061958
2024-03-18,9.091579897076338
2024-03-19,11.511611047934458
2024-03-20,11.694206697719485
2024-03-21,11.983749919447126
2024-03-22,12.586399603936886
2024-03-23,12.290262850135377
2024-03-24,15.179025483653767
2024-03-25,14.821888615760777
2024-03-26,15.439712237160995
2024-03-27,15.076441849645876
2024-03-28,14.721718601638175
2024-03-29,14.375341393361333
2024-03-30,14.03711385657735
2024-03-31,13.70684424326166
2024-04-01,13.384345316897305
2024-04-02,14.910097474456315
2024-04-03,14.55928802903171
2024-04-04,15.341191526606393
2024-04-05,14.980239165240446
2024-04-06,18.837037104982958
2024-04-07,18.3938333934336
2024-04-08,17.961057517686463
2024-04-09,17.538464128353255
2024-04-10,17.12581364870297
2024-04-11,18.961046444883856
2024-04-12,19.180631126968873
2024-04-13,21.42361941143833
2024-04-14,20.919557780882926
2024-04-15,20.42735587031781
2024-04-16,21.06227100178752
2024-04-17,23.246483634542187
2024-04-18,22.69953308335518
2024-04-19,22.698708668053786
2024-04-20,22.164646337922374
2024-04-21,24.143827474049463
2024-04-22,23.575763935825847
2024-04-23,24.091537585968855
2024-04-24,23.52470434061692
2024-04-25,25.568389350227108
2024-04-26,24.96680827379752
2024-04-27,24.379381385438244
2024-04-28,29.811119756083187
2024-04-29,29.10971438921456
2024-04-30,28.424811907601416
2024-05-01,27.756024026188324
2024-05-02,27.102971595612303
2024-05-03,32.010122673177946
2024-05-04,31.25697847662328
2024-05-05,30.5215544927212
2024-05-06,30.507183637210925
2024-05-07,29.78940106123707
2024-05-08,29.088506698626286
2024-05-09,28.404103198202687
2024-05-10,28.430946064937363
2024-05-11,27.762013857148347
2024-05-12,27.108820495952596
2024-05-13,27.465452618834906
2024-05-14,27.58904213418374
2024-05-15,27.963221836193664
2024-05-16,27.305294390618865
2024-05-17,26.66284686814364
2024-05-18,26.0355150522867
2024-05-19,31.958359028830657
2024-05-20,31.206432743520217
2024-05-21,31.293078703182562
2024-05-22,30.55680534183807
2024-05-23,30.426804174988483
2024-05-24,31.770502175333785
2024-05-25,31.022995844936943
2024-05-26,34.03256163373997
2024-05-27,33.23183285959449
2024-05-28,33.29700026351989
2024-05-29,32.51357800777946
2024-05-30,32.53814962606343
2024-05-31,31.772581845905215
2024-06-01,31.02502658436751
2024-06-02,30.451516618632393
2024-06-03,35.2049030730335
2024-06-04,34.376591082153766
2024-06-05,33.567767875345154
