Date,WorkoutType,Title,HeartRateAverage,TimeTotalInHours,DistanceInMeters,Calories
2022-06-03,Bike,Muscular Endurance,127.0,0.5358333333333334,0.0,258.0
2022-06-04,Swim,Nuoto in piscina,136.0,0.6225,1100.0,246.0
2022-06-04,Run,Zone 1 Run,150.0,1.8908333333333334,14410.0,1239.0
2022-06-05,Bike,Vo2 short recovery step up inter,143.0,2.0275,0.0,1004.0
2022-06-05,Run,Vincennes Corsa,117.0,0.35583333333333333,2200.0,148.0
2022-06-07,Swim,Nuoto in piscina,140.0,0.6180555555555556,1350.0,314.0
2022-06-07,Run,Zone 5 Repeats,142.0,0.7441666666666666,6250.0,438.0
2022-06-09,Run,Vincennes - Zone 3 Intervals,150.0,0.9569444444444445,8010.0,593.0
2022-06-09,Swim,Nuoto in piscina,140.0,0.7138888888888889,1925.0,478.0
2022-06-10,Bike,Endurance Step Ups,146.0,1.2236111111111112,34800.0,645.0
2022-06-11,Swim,Nuoto in piscina,141.0,0.8752777777777778,2325.0,528.0
2022-06-11,Run,Vincennes - Zone 2 Run,147.0,2.0838888888888887,15790.0,1175.0
2022-06-12,Bike,Saint-Mandé - Race Pace Intervals,139.0,3.5327777777777776,96000.0,1510.0
2022-06-12,Run,Fontenay-sous-Bois - Zone 1 Run,136.0,0.505,3420.0,239.0
2022-06-14,Run,FTP Test,135.0,1.0591666666666666,5000.0,526.0
2022-06-14,Swim,Nuoto in piscina,145.0,1.1188888888888888,3000.0,719.0
2022-06-21,Run,Vincennes - Zone 3 Intervals,152.0,0.9238888888888889,8070.0,599.0
2022-06-21,Swim,Nuoto in piscina,126.0,0.7383333333333333,1550.0,345.0
2022-06-22,Bike,Easy Effort spin,132.0,0.5225,15400.0,284.0
2022-06-23,Swim,Nuoto in piscina,138.0,0.91,2325.0,555.0
2022-06-23,Run,Vincennes - Zone 2b Long Run,154.0,1.875,16020.0,1178.0
2022-06-25,Swim,Nuoto in piscina,144.0,1.4791666666666667,4000.0,945.0
2022-06-26,Bike,Vincennes - Race Pace Intervals,135.0,5.030833333333334,135600.0,2001.0
2022-06-26,Run,Brick Run,146.0,1.0091666666666668,8570.0,629.0
2022-07-10,Bike,Vincennes - Race Pace Intervals,139.0,2.506666666666667,43660.0,1148.0
2022-07-10,Run,Vincennes - Brick Run Mile Repeats,152.0,0.6177777777777778,5000.0,393.0
2022-07-11,Bike,Saint-Mandé Ciclismo,147.0,0.6452777777777777,14480.0,398.0
2022-07-12,Run,Zone 3 Intervals,151.0,1.4297222222222221,6510.0,842.0
2022-07-14,Swim,Nuoto in piscina,130.0,0.5547222222222222,1300.0,290.0
2022-07-14,Bike,Saint-Mandé - Muscular Endurance broken interv,154.0,0.7641666666666667,20780.0,527.0
2022-07-14,Run,Vincennes - Zone 2b Long Run,150.0,0.37277777777777776,3260.0,248.0
2022-07-15,Bike,Vincennes - Muscular Endurance,144.0,1.1188888888888888,30190.0,607.0
2022-07-16,Swim,Nuoto in piscina,145.0,0.6369444444444444,1650.0,404.0
2022-07-16,Run,Corsa su tapis roulant,145.0,2.111388888888889,17300.0,1121.0
2022-07-17,Bike,Vincennes - Race Pace Intervals,130.0,3.798611111111111,79720.0,1419.0
2022-07-19,Bike,Saint-Mandé - Race Pace Intervals,142.0,5.018611111111111,125180.0,2142.0
2022-07-21,Swim,Nuoto in piscina,129.0,0.5886111111111111,1500.0,357.0
2022-07-22,Swim,Nuoto in piscina,133.0,0.42777777777777776,1075.0,258.0
2022-07-22,Run,Vincennes - Zone 2b Long Run,146.0,2.3719444444444444,19480.0,1442.0
2022-07-24,Swim,Nuoto in piscina,144.0,1.4091666666666667,4050.0,1012.0
2022-08-01,Bike,Paris - Race Pace Intervals,143.0,1.8019444444444443,46100.0,1004.0
2022-08-01,Run,Vincennes - Brick Run Mile Repeats,146.0,0.7633333333333333,5350.0,437.0
2022-08-02,Swim,Nuoto in piscina,128.0,0.5169444444444444,1450.0,372.0
2022-08-07,Swim,Nuoto in piscina,158.0,1.4830555555555556,4175.0,1000.0
2022-08-07,Bike,Maastricht Ciclismo,147.0,7.666944444444445,178390.0,3297.0
2022-08-07,Run,Maastricht Corsa,130.0,6.153333333333333,42940.0,3122.0
2022-08-21,Bike,Bobigny - easy ride,131.0,0.7019444444444445,11530.0,313.0
2022-09-01,Bike,Paris Ciclismo,133.0,0.6972222222222222,16780.0,355.0
2022-09-03,Bike,Ciclismo indoor,138.0,0.4216666666666667,0.0,244.0
