"Timestamp","Type","Value"
"2024-03-03 00:00:00","Sleep Hours","10.85"
"2024-03-03 00:00:00","Time In Deep Sleep","1.66666662693024"
"2024-03-03 00:00:00","Time In Light Sleep","8.80000019073486"
"2024-03-03 00:00:00","Time In REM Sleep","0.383333325386047"
"2024-03-03 00:00:00","Time Awake","0.133333340287209"
"2024-03-03 00:00:00","Pulse","50"
"2024-03-03 00:00:00","Stress Level","Max : 99 / Avg : 23"
"2024-03-03 00:00:00","Stress Qualifier","balanced"
"2024-03-03 00:00:00","Body Battery","Min : 40 / Max : 87 / Avg : 64"
"2024-03-03 08:18:28","Weight Kilograms","80.20"
"2024-03-04 00:00:00","Sleep Hours","8.12"
"2024-03-04 00:00:00","Time In Deep Sleep","1.73333334922791"
"2024-03-04 00:00:00","Time In Light Sleep","5.23333311080933"
"2024-03-04 00:00:00","Time In REM Sleep","1.14999997615814"
"2024-03-04 00:00:00","Time Awake","0.416666656732559"
"2024-03-04 00:00:00","Pulse","49"
"2024-03-04 00:00:00","Stress Level","Max : 100 / Avg : 27"
"2024-03-04 00:00:00","Stress Qualifier","balanced"
"2024-03-04 00:00:00","Body Battery","Min : 28 / Max : 83 / Avg : 55"
"2024-03-04 07:05:02","Weight Kilograms","79.80"
"2024-03-05 00:00:00","Sleep Hours","8.35"
"2024-03-05 00:00:00","Time In Deep Sleep","0.766666650772095"
"2024-03-05 00:00:00","Time In Light Sleep","6.71666669845581"
"2024-03-05 00:00:00","Time In REM Sleep","0.866666674613953"
"2024-03-05 00:00:00","Time Awake","0.850000023841858"
"2024-03-05 00:00:00","Pulse","49"
"2024-03-05 00:00:00","Stress Level","Max : 91 / Avg : 22"
"2024-03-05 00:00:00","Stress Qualifier","balanced"
"2024-03-05 00:00:00","Body Battery","Min : 31 / Max : 87 / Avg : 57"
"2024-03-05 06:39:17","Weight Kilograms","79.80"
"2024-03-06 00:00:00","Sleep Hours","8.40"
"2024-03-06 00:00:00","Time In Deep Sleep","1.23333334922791"
"2024-03-06 00:00:00","Time In Light Sleep","5.96666669845581"
"2024-03-06 00:00:00","Time In REM Sleep","1.20000004768372"
"2024-03-06 00:00:00","Time Awake","0.25"
"2024-03-06 00:00:00","Pulse","51"
"2024-03-06 00:00:00","Stress Level","Max : 99 / Avg : 23"
"2024-03-06 00:00:00","Stress Qualifier","balanced"
"2024-03-06 00:00:00","Body Battery","Min : 28 / Max : 87 / Avg : 56"
"2024-03-06 07:09:46","Weight Kilograms","79.80"
"2024-03-07 00:00:00","Sleep Hours","8.62"
"2024-03-07 00:00:00","Time In Deep Sleep","0.866666674613953"
"2024-03-07 00:00:00","Time In Light Sleep","6.46666669845581"
"2024-03-07 00:00:00","Time In REM Sleep","1.28333330154419"
"2024-03-07 00:00:00","Time Awake","0.566666662693024"
"2024-03-07 00:00:00","Pulse","50"
"2024-03-07 00:00:00","Stress Level","Max : 95 / Avg : 21"
"2024-03-07 00:00:00","Stress Qualifier","calm"
"2024-03-07 00:00:00","Body Battery","Min : 36 / Max : 85 / Avg : 59"
"2024-03-07 07:22:18","Weight Kilograms","80.20"
"2024-03-08 00:00:00","Sleep Hours","8.65"
"2024-03-08 00:00:00","Time In Deep Sleep","1.20000004768372"
"2024-03-08 00:00:00","Time In Light Sleep","5.63333320617676"
"2024-03-08 00:00:00","Time In REM Sleep","1.81666672229767"
"2024-03-08 00:00:00","Time Awake","0.266666680574417"
"2024-03-08 00:00:00","Pulse","51"
"2024-03-08 00:00:00","Stress Level","Max : 96 / Avg : 23"
"2024-03-08 00:00:00","Stress Qualifier","balanced"
